Store,Date,Forecasted_Sales
17,2013-01-04,952098.45
17,2013-01-11,952098.45
17,2013-01-18,952098.45
18,2012-11-02,1082012.46
18,2012-11-09,1070411.79
18,2012-11-16,1067454.33
18,2012-11-23,1066700.36
18,2012-11-30,1066508.15
18,2012-12-07,1066459.14
18,2012-12-14,1066446.65
18,2012-12-21,1066443.47
18,2012-12-28,1066442.65
18,2013-01-04,1066442.45
18,2013-01-11,1066442.4
18,2013-01-18,1066442.38
19,2012-11-02,1367447.69
19,2012-11-09,1377575.96
19,2012-11-16,1379838.97
19,2012-11-23,1380344.6
19,2012-11-30,1380457.58
19,2012-12-07,1380482.82
19,2012-12-14,1380488.46
19,2012-12-21,1380489.72
19,2012-12-28,1380490.01
19,2013-01-04,1380490.07
19,2013-01-11,1380490.08
19,2013-01-18,1380490.09
20,2012-11-02,2061507.17
20,2012-11-09,2066424.16
20,2012-11-16,2067233.92
20,2012-11-23,2067367.28
20,2012-11-30,2067389.24
20,2012-12-07,2067392.86
20,2012-12-14,2067393.45
20,2012-12-21,2067393.55
20,2012-12-28,2067393.57
20,2013-01-04,2067393.57
20,2013-01-11,2067393.57
20,2013-01-18,2067393.57
21,2012-11-02,676176.25
21,2012-11-09,676445.15
21,2012-11-16,676519.43
21,2012-11-23,676539.95
21,2012-11-30,676545.62
21,2012-12-07,676547.19
21,2012-12-14,676547.62
21,2012-12-21,676547.74
21,2012-12-28,676547.77
21,2013-01-04,676547.78
21,2013-01-11,676547.78
21,2013-01-18,676547.78
22,2012-11-02,1035488.79
22,2012-11-09,1017559.88
22,2012-11-16,1012105.53
22,2012-11-23,1010446.2
22,2012-11-30,1009941.4
22,2012-12-07,1009787.83
22,2012-12-14,1009741.11
22,2012-12-21,1009726.9
22,2012-12-28,1009722.57
22,2013-01-04,1009721.26
22,2013-01-11,1009720.86
22,2013-01-18,1009720.74
23,2012-11-02,1379672.52
23,2012-11-09,1393006.33
23,2012-11-16,1398524.71
23,2012-11-23,1400808.57
23,2012-11-30,1401753.77
23,2012-12-07,1402144.96
23,2012-12-14,1402306.86
23,2012-12-21,1402373.86
23,2012-12-28,1402401.59
23,2013-01-04,1402413.07
23,2013-01-11,1402417.82
23,2013-01-18,1402419.78
24,2012-11-02,1346194.01
24,2012-11-09,1352544.03
24,2012-11-16,1353577.64
24,2012-11-23,1353745.89
24,2012-11-30,1353773.27
24,2012-12-07,1353777.73
24,2012-12-14,1353778.45
24,2012-12-21,1353778.57
24,2012-12-28,1353778.59
24,2013-01-04,1353778.59
24,2013-01-11,1353778.59
24,2013-01-18,1353778.59
25,2012-11-02,690506.47
25,2012-11-09,691150.73
25,2012-11-16,691415.87
25,2012-11-23,691524.98
25,2012-11-30,691569.88
25,2012-12-07,691588.36
25,2012-12-14,691595.97
25,2012-12-21,691599.1
25,2012-12-28,691600.39
25,2013-01-04,691600.92
25,2013-01-11,691601.13
25,2013-01-18,691601.22
26,2012-11-02,1000525.27
26,2012-11-09,1005942.32
26,2012-11-16,1006642.57
26,2012-11-23,1006733.09
26,2012-11-30,1006744.79
26,2012-12-07,1006746.31
26,2012-12-14,1006746.5
26,2012-12-21,1006746.53
26,2012-12-28,1006746.53
26,2013-01-04,1006746.53
26,2013-01-11,1006746.53
26,2013-01-18,1006746.53
27,2012-11-02,1682254.12
27,2012-11-09,1678159.28
27,2012-11-16,1677352.89
27,2012-11-23,1677194.09
27,2012-11-30,1677162.82
27,2012-12-07,1677156.66
27,2012-12-14,1677155.45
27,2012-12-21,1677155.21
27,2012-12-28,1677155.16
27,2013-01-04,1677155.15
27,2013-01-11,1677155.15
27,2013-01-18,1677155.15
28,2012-11-02,1226084.02
28,2012-11-09,1225123.29
28,2012-11-16,1225198.8
28,2012-11-23,1225192.87
28,2012-11-30,1225193.33
28,2012-12-07,1225193.3
28,2012-12-14,1225193.3
28,2012-12-21,1225193.3
28,2012-12-28,1225193.3
28,2013-01-04,1225193.3
28,2013-01-11,1225193.3
28,2013-01-18,1225193.3
29,2012-11-02,527507.76
29,2012-11-09,525535.39
29,2012-11-16,525014.11
29,2012-11-23,524876.34
29,2012-11-30,524839.93
29,2012-12-07,524830.31
29,2012-12-14,524827.77
29,2012-12-21,524827.1
29,2012-12-28,524826.92
29,2013-01-04,524826.87
29,2013-01-11,524826.86
29,2013-01-18,524826.85
30,2012-11-02,437147.21
30,2012-11-09,437522.65
30,2012-11-16,437460.75
30,2012-11-23,437470.96
30,2012-11-30,437469.28
30,2012-12-07,437469.55
30,2012-12-14,437469.51
30,2012-12-21,437469.51
30,2012-12-28,437469.51
30,2013-01-04,437469.51
30,2013-01-11,437469.51
30,2013-01-18,437469.51
31,2012-11-02,1361549.88
31,2012-11-09,1361451.21
31,2012-11-16,1361451.67
31,2012-11-23,1361451.67
31,2012-11-30,1361451.67
31,2012-12-07,1361451.67
31,2012-12-14,1361451.67
31,2012-12-21,1361451.67
31,2012-12-28,1361451.67
31,2013-01-04,1361451.67
31,2013-01-11,1361451.67
31,2013-01-18,1361451.67
32,2012-11-02,1192343.81
32,2012-11-09,1187777.69
32,2012-11-16,1187023.24
32,2012-11-23,1186898.59
32,2012-11-30,1186877.99
32,2012-12-07,1186874.59
32,2012-12-14,1186874.03
32,2012-12-21,1186873.93
32,2012-12-28,1186873.92
32,2013-01-04,1186873.92
32,2013-01-11,1186873.92
32,2013-01-18,1186873.92
33,2012-11-02,261353.3
33,2012-11-09,262230.44
33,2012-11-16,262331.38
33,2012-11-23,262343.0
33,2012-11-30,262344.34
33,2012-12-07,262344.49
33,2012-12-14,262344.51
33,2012-12-21,262344.51
33,2012-12-28,262344.51
33,2013-01-04,262344.51
33,2013-01-11,262344.51
33,2013-01-18,262344.51
34,2012-11-02,957811.74
34,2012-11-09,957897.81
34,2012-11-16,957906.8
34,2012-11-23,957907.74
34,2012-11-30,957907.84
34,2012-12-07,957907.85
34,2012-12-14,957907.85
34,2012-12-21,957907.85
34,2012-12-28,957907.85
34,2013-01-04,957907.85
34,2013-01-11,957907.85
34,2013-01-18,957907.85
35,2012-11-02,857934.1
35,2012-11-09,856822.72
35,2012-11-16,856651.25
35,2012-11-23,856624.8
35,2012-11-30,856620.71
35,2012-12-07,856620.08
35,2012-12-14,856619.99
35,2012-12-21,856619.97
35,2012-12-28,856619.97
35,2013-01-04,856619.97
35,2013-01-11,856619.97
35,2013-01-18,856619.97
36,2012-11-02,285601.53
36,2012-11-09,285075.87
36,2012-11-16,285096.95
36,2012-11-23,285096.1
36,2012-11-30,285096.14
36,2012-12-07,285096.14
36,2012-12-14,285096.14
36,2012-12-21,285096.14
36,2012-12-28,285096.14
36,2013-01-04,285096.14
36,2013-01-11,285096.14
36,2013-01-18,285096.14
37,2012-11-02,530051.06
37,2012-11-09,530782.02
37,2012-11-16,530668.03
37,2012-11-23,530685.81
37,2012-11-30,530683.04
37,2012-12-07,530683.47
37,2012-12-14,530683.4
37,2012-12-21,530683.41
37,2012-12-28,530683.41
37,2013-01-04,530683.41
37,2013-01-11,530683.41
37,2013-01-18,530683.41
38,2012-11-02,430853.56
38,2012-11-09,429621.55
38,2012-11-16,429733.46
38,2012-11-23,429723.3
38,2012-11-30,429724.22
38,2012-12-07,429724.14
38,2012-12-14,429724.14
38,2012-12-21,429724.14
38,2012-12-28,429724.14
38,2013-01-04,429724.14
38,2013-01-11,429724.14
38,2013-01-18,429724.14
39,2012-11-02,1567291.97
39,2012-11-09,1566668.05
39,2012-11-16,1566491.91
39,2012-11-23,1566442.19
39,2012-11-30,1566428.15
39,2012-12-07,1566424.18
39,2012-12-14,1566423.07
39,2012-12-21,1566422.75
39,2012-12-28,1566422.66
39,2013-01-04,1566422.64
39,2013-01-11,1566422.63
39,2013-01-18,1566422.63
40,2012-11-02,962530.03
40,2012-11-09,968372.75
40,2012-11-16,969200.01
40,2012-11-23,969317.14
40,2012-11-30,969333.72
40,2012-12-07,969336.07
40,2012-12-14,969336.4
40,2012-12-21,969336.45
40,2012-12-28,969336.46
40,2013-01-04,969336.46
40,2013-01-11,969336.46
40,2013-01-18,969336.46
41,2012-11-02,1348100.59
41,2012-11-09,1355466.86
41,2012-11-16,1357186.3
41,2012-11-23,1357587.65
41,2012-11-30,1357681.33
41,2012-12-07,1357703.2
41,2012-12-14,1357708.3
41,2012-12-21,1357709.5
41,2012-12-28,1357709.77
41,2013-01-04,1357709.84
41,2013-01-11,1357709.85
41,2013-01-18,1357709.86
42,2012-11-02,567063.58
42,2012-11-09,565064.71
42,2012-11-16,565141.09
42,2012-11-23,565138.17
42,2012-11-30,565138.28
42,2012-12-07,565138.28
42,2012-12-14,565138.28
42,2012-12-21,565138.28
42,2012-12-28,565138.28
42,2013-01-04,565138.28
42,2013-01-11,565138.28
42,2013-01-18,565138.28
43,2012-11-02,612532.05
43,2012-11-09,613354.3
43,2012-11-16,613381.42
43,2012-11-23,613382.32
43,2012-11-30,613382.35
43,2012-12-07,613382.35
43,2012-12-14,613382.35
43,2012-12-21,613382.35
43,2012-12-28,613382.35
43,2013-01-04,613382.35
43,2013-01-11,613382.35
43,2013-01-18,613382.35
44,2012-11-02,336275.04
44,2012-11-09,342391.27
44,2012-11-16,340882.39
44,2012-11-23,341254.63
44,2012-11-30,341162.8
44,2012-12-07,341185.45
44,2012-12-14,341179.86
44,2012-12-21,341181.24
44,2012-12-28,341180.9
44,2013-01-04,341180.99
44,2013-01-11,341180.96
44,2013-01-18,341180.97
45,2012-11-02,742541.8
45,2012-11-09,738397.97
45,2012-11-16,737430.01
45,2012-11-23,737203.9
45,2012-11-30,737151.09
45,2012-12-07,737138.75
45,2012-12-14,737135.87
45,2012-12-21,737135.19
45,2012-12-28,737135.04
45,2013-01-04,737135.0
45,2013-01-11,737134.99
45,2013-01-18,737134.99
